EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Crimson Badger Brewing,Mulled Ginger Bear,Created by blind luck and pitched to the ski slopes for ski lap rewards. Made since 2017 and still a mountain favourite!,6,Winter spiced Ginger Beer,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,TinyKen,"Plain and simply put, if you want a beer but are being 'good' for whatever reason, you don't want to be drinking some rubbish hop water.Meet TinyKen. TinyKen is as innocent as the Milkman saying hi to mum; meet your real daddy of Non Alc Hazy IPAs.

Flavours: American Ale, wheat and oats collaborate with Lallemand LoNa yeast to give more body and keep it like a proper beer. Whirlpool Hops balance the malt sweetness with a touch of bitter for that traditional IPA like balance. Big amounts of dry hopping with Mosaic and Freestyle Hop's Hop Kieff smash in flavour and aromas. ",0,NA Hazy IPA,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Tiny Terror,"If you have been wanting something BIG on Flavour but small on ABV, meet our NEW Little Hazy Pale Ale from our TINY Series. We started with TINY Mammoth and after developing the recipe a bit we have landed on TINY Terror, a 2.3 Hazy Pale Ale that drinks like...

Flavours: Little ABV doesn't mean little on our hop flavours. We are looking at BIG refreshing notes of mango, tropical fruits and citrus balanced with oats for a bit of body!",2.3,Low Alc Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,The Classic,"You wanted an easy-drinking Lager and we are giving you one. Introducing the ‘classic’ beer you've been searching for. Quality meets easy goin’ beer. No more sacrificing your standards.

Flavours: Your standard go-to lager but with the quality ingredients you would expect from DVB! Think crisp, clean, approachable.",4.5,Lager,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Smooth Operator,"Smooth Operator Cream Ale is a light 19th-century American style brew designed to keep you coming back for more. Complete with a slight touch of whole bean vanilla and New Zealand’s finest honey. Think creamy, smooth and refreshing with a clean and zesty finish.

Flavours: Flavours	Lager, Pilsner or Pale Ale Drinker? Welcome to your new favourite style. Some get 1950s Cream Soda… ",4.7,Cream Ale,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Split the D (Nitro),"Split the D takes the Irish dry stout you know and gives it the treatment it deserves. Drawing on Dagda and his endless cauldron, this is our ever‑flowing well of stout done properly – tight, roasty, and built for repeat pints rather than gimmicks.

Flavours: Ale malt, flaked wheat, roasted barley, patent malt and a smidge of Eclipse Wheat build a roasty‑toasty backbone with smooth coffee and dark chocolate notes. Fuggles and Lallemand Nottingham keep it classic – earthy, clean and dry – with a firm bitterness and crisp finish. On nitro it settles into a dense creamy head over a lean, drinkable body: a modern take on a timeless pint.",4.8,Irish Dry Stout,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Mouth Party,"Does what it says on the tin, mate! Everything you like from a hazy: full flavour, juicy, and all of those delicious tropical notes from dry hopping, without too much bitter.
Flavours: Quenching tropical fruits, citrus and lime zest from the US and NZ hops with solid body to match from oats and wheat",5.3,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Expatriate,"The EXPATRIATE is an American Pale Ale leaving the homeland in exploration of something more. It had no idea it would find New Zealand but the hops were too good to pass up. An alliance of US and NZ hops are sure to enlist your palate for a second round.

Citrus, tropical, floral & pine notes from the hops with a light biscuity malt profile.",5.6,APA,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Birthday Suit,"Ten years of Double Vision Brewing, and we are stripping it back to celebrate! For our decade milestone, we wanted a proper birthday drink that encapsulates the DVB essence in one drop: a classic, sessionable NZ Pilsner built to celebrate with. The character on the can might be keeping things completely bare, but this beer is fully dressed in the best hop profile we could muster. Accessible, inclusive, and built for repeat pints as we toast to ten years of pushing the boundaries.

Flavours: New Zealand Pilsner malt and a measure of wheat keeps the mouthfeel delicate yet soft, letting the hops take centre stage. Fermented clean with Froth Vagabond Czech Pilsner lager yeast, this brew takes you on a three-stop hop tour. Local Kohatu brings fresh tropical pineapple, Australian Galaxy exudes lush passionfruit, and USA Krush Cryo delivers a final punch of tropical fruit cocktail, berry and bright citrus—snappy, dry, and maximum moreishness.",5.6,NZ Pilsner,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Red Rascal,"A Red Rascal lives in us all, sometimes big, sometimes small. Though sometimes dormant, never extinct. A playful nature canned into a drink. Perfectly balanced with bitter and sweet, your Monday to Sunday delicious treat.

Flavours: Fresh, fruity, Gooseberry and citrus with a gentle Red Malt flavour balance.",6.3,Red Rascal,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Jaeger Unleashed ,"Targeting systems upgraded. Armour plating reinforced. Standing on the other flank of our third Pacific Hop instalment is Jaeger - Unleashed. After trading blows through Origins and our Fresh Hop clash, this precision-engineered mech has been completely rebuilt with advanced lupulin weaponry to face down the mutated Kaiju. Running a drier, sharper, and cleaner West Coast profile, this unit is locked, loaded, and ready to strike.

Flavours: A clean, bright base of pilsner malt, wheat malt, and dextrine malt, with a touch of light crystal, keeps the body lean, snappy, and light on its feet. Clean Froth Buddy ale yeast lets the hops fire on all cylinders. Nelson Sauvin and Taiheke are supercharged by a heavy drop of Tropical Fusion Kief, delivering sharp, defined notes of crushed gooseberries, white wine grapes, and zesty grapefruit with a clean, punchy bitterness",6.5,NZ IPA,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Kai Juice Unleashed,"The beast has broken its chains. Following the raw power of the Origins first set and the seasonal chaos of the Fresh Hop second drop, Kai Juice - Unleashed arrives as the third evolution of our jungle giant. We have taken our wild, nature-powered hazy and mutated it with high-spec hop tech - packing it with concentrated kief and enriched hops to go head-to-head with its metal rival, Jaeger. It is soft, thick, and fully unleashed.

Flavours: A high-protein grist of pilsner base malt, wheat malt, and flaked oats builds a silky, pillowy body with a rock-solid stable haze. White Labs WLP008 yeast cradles a heavy payload of Galaxy, Nectaron, Riwaka Amplifire, and Riwaka Kief. Expect a massive, saturated punch of sweet peach, pineapple, and passionfruit, backed by a heavy wave of dank tropical citrus and fresh-squeezed lime oil.",6.5,NZ Hazy,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Dreamsicle,"Don't let the sweet smile fool ya – Dreamsicle's got a bite! This Tropical Orange Creamsicle Smoothie Sour takes that classic orange and vanilla ice cream flavour, then gives it a monstrous twist with a tropical kick. It’s smooth, sweet, and dangerously drinkable, just how we like to nudge those recipe boundaries.

Flavours: Expect a luscious, creamy body from milk sugars and coconut, backed up by a pillowy mouthfeel from wheat and oats. Vibrant orange and guava lead a tropical charge, while banana adds a sweet undercurrent. Smooth vanilla delivers that nostalgic creamsicle hit, but watch out – this flavour combo has a playful, zesty bite that keeps things interesting.",6.6,Tropical Smoothie Sour,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,I <3 You/I Love You,"In a world where purple dinosaurs sing sweet songs, I Love You reveals a cheekier reality - sometimes love bites back. This pink-purple sour is like a can of cake: you can have your love for your mate and eat them too! It's your ticket to a tropical sunset escape, blending borderline Theropodic Vibes with fruity indulgence that's far too easy to devour. Looks like Barney will be having both cans for himself.

Flavours: Loaded with barley, wheat, and oats for a smooth base, it's piled high with guava puree, raspberry puree, banana puree, and passion fruit puree for vibrant tropical layers. Coconut, vanilla, and milk sugars add creamy sweetness, while beetroot brings vivid pink-purple colour. The result is a plush, smoothie-like body delivering juicy berry, stone fruit, and citrus, finishing tart and refreshing like a sunset sorbet.",6.9,Smoothie Sour ,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Merry Monk,"This Belgian Tripel is a bold, scandalously traditional classic that refuses to play it safe, holding onto its secrets tighter than a blowing robe on a windy Wellington day. This monk isn’t going to reveal everything until you get it into your glass to breathe a bit. Dry, effervescent, and stronger than it tastes, it is a decadent, high-gravity, relaxed adventure.

Flavours: A straightforward, 100% European Bestmalz Pilsner malt base is lightened with clear candi sugar to keep the body dry and dangerously drinkable at 9.1% ABV. Fermented with WLP530 Abbey Ale yeast, it delivers a deep, spicy ester profile of cherry, plum and pear, while late additions of bitter dried orange peel bring a bright citrus lift. Mild, delicate Saaz hops linger in the background, providing a soft floral touch and a clean bitterness to balance the sweetness.",9.1,Belgian Tripel,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Monarch Unleashed ,"Crowning the trilogy, Monarch - Unleashed descends as the ultimate mediator. After watching Kai Juice and Jaeger clash through Origins and Fresh Hops, this colossal triple hazy has had the safety limiters completely ripped off to enforce supreme order. Wielding a massive arsenal of Superdelic, Mosaic, and Clayton Hops’ Amplifire Motueka, this heavy-gravity overlord is built to overpower every other beer in the fridge.

Flavours: A massive, bold grist of pilsner base malt, wheat malt, flaked wheat, and flaked oats is smoothed out with dextrose sugar and maltodextrin for a thick, velvety body that balanced the 10.2% ABV. White Labs WLP008 yeast carries a saturated hop payload of Superdelic, Mosaic, Amplifire Motueka, and Motueka Kief. Expect a sweet-and-dank explosion of red fruit, candy, tropical mango, and fresh-squeezed mojito lime oil that takes you straight to boss level.",10.2,Hazy Triple IPA,,,,,,,,,,,,,,,,,,,
Double Vision Brewing,Double Vision Brewing,Lost Clause,"Santa may be a Lost Clause, but you're on the nice list if you've got this beer in your vessel. Down here, Christmas lands in summer - so while the big guy’s stuck halfway down a chimney, you can unwrap a sun-season sipper that’s all Christmas cake with no fireplace required.

Flavours: A plush barley-and-wheat base carries rich muscovado molasses, toffee, and dark caramel. Festive spice - cardamom, cinnamon, nutmeg, and ginger - builds gingerbread warmth, while dates and raisins layer dense dried‑fruit notes (fig, plum, sultana). Full‑bodied, smooth, and gently warming, with a long, cake‑like finish.",13.5,Imperial Pastry Stout,,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Pawpaw After Party,"The After Party has arrived. Bursting with pawpaw, mango, and banana added before and after fermentation, this mega-fruited smoothie sour beer is stacked with tropical goodness and just the right balance of sweet and tangy. Thick, juicy, and ready to keep the party going long after everyone else has gone home.",5,Smoothie Sour,,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,San Isidore,"Back with our spicy sidekicks Apostle. We’ve taken inspiration from the magic of Saint Isidore. Passionfruit & pineapple bring a tropical party, habanero throws the heat, & a hint of mint keeps it fresh, all on top of a smooth corn & barley base. Tangy, vibrant, with just the right kick. Like a blessing with a bit of bite!",5,Fruited Sour,,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Lemon Meringue,"A slice of nostalgia in a beer glass. This ice cream sour beer is bursting with bright, tangy lemon curd, layered over a buttery, crumbly pie crust, and finished with fluffy clouds of sweet meringue. Tart, creamy, and shamelessly dessert-inspired. Nana would probably ask for a second pour.",5,Ice Cream Sour,,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Mango Grapefruju,"Sometimes you just need a juicy throwback! To quench that craving, we present Mango Grapefruju. An ice cream sour inspired by the classic treat. Bursting with refreshing mango, grapefruit and lime, and rounded out with a soft touch of vanilla for that creamy, frosty finish. Ooh, ahh. It’s gonna hit yah!",5,Ice Cream Sour,,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Apricot Brett,"In the 23/24 summer, a harvest of deliciously juicy apricots arrived from the southern reaches of Cromwell. We aged them with two funk brothers named lactobacillus and brettanomyces and the result is perfectly funky, lightly soured, earthy, fruity, and bright. It's a wild ride",5.5,Wild Sour (2024),,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Raspberry Waffle,"The Duncan’s waffle maker is back at it. A beer packed with tart raspberries, drizzled in rich maple goodness, and finished with a smooth hit of vanilla.",6,Pastry Sour,,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Boysenberry Peanut Maple Crunch Float,"Warning: May ruin ordinary beers forever.
We've taken our Boysenberry & Apple Crumble Pastry Sour, turned it into a slushie, then floated it on our Maple Peanut Crunch Imperial Pastry Stout. Because self-control is overrated.",8.5,Slushie Float (Pastry Sour + Imperial Pastry Stout),,,,,,,,,,,,,,,,,,,
Duncan's Brewing,Duncan's Brewing,Malbec Brett,"This wild ferment was a Hawkes Bay mission. Broken van, stranded staff, grapes fermenting where they shouldn’t… it nearly broke us. But out of the chaos came something special; a wild sour brimming with funky Brett character, tannish Malbec grapes, and a crisp, clean finish. Proof that hard work (and a little madness) really does pay off.",8.5,"Wild Sour
(2025)",,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Bookbinder,"A wonderfully drinkable interpretation of a classic English ale. Bookbinder is a blend of four malts combined with two classic Nelson grown European hops (Fuggles and Riwaka).

The beer pours an attractive reddish brown, with a cream coloured head. Bookbinder has a sweet, perfumey, malt and hop aroma with a soft, malty, fruit and vinous palate that is both full flavoured and refreshing with a long, gently drying finish.",3.7,Session Ale,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Juicy Apple Cider,"Apples have a symbolic status in many legends, folklores, and traditions. They can represent love, beauty, wisdom, immortality, and temptation — to name but a few. We just reckon they make a deliciously refreshing beverage. And Juicy Apple Cider is certainly that, with the crisp, sweet hit of ripe apples, balanced by a slightly dry finish. Hmmm, maybe they were right about the temptation thing",4.5,Cider,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,1812,"One of New Zealand’s first new generation pale ales and now something of a classic, Emerson’s 1812 is all about balance. Pouring a bright amber hue beneath a deep cream coloured head, the aroma hints at caramel and dark toffee balanced with a light citrusy fruitiness.
Medium bodied, the palate first offers a
marmalade-like combination of ripe citrus and caramelised malts before resiny hops come to the fore and lead into a lingering dry finish",5,Pale Ale,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Pride Of The Plains,"Pride of the Plains. First brewed on 16 May 1995, with Saaz D hops (now known as Riwaka), our 2026 reboot has been inspired by the original single-hop recipe. It has the same bold fruit flavours, and notes of passionfruit and lime. Make the most of it, it might not be around again for another 30 years..",5,Riwaka Pilsner,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Phantom Lord Hazy IPA,"It’s unwise to make sweeping generalisations about Phantom Lords. They’re not all sinister and evil. In fact, this one is quite the fun, fruity character. Brewed with a heady combo of Kohatu (NZ), and Mosaic (US) hops, Phantom Lord Hazy IPA is full of complex tropical flavours. Pineapple, lime, and stone fruit, meet mango, citrus and berries. Just watch out, at 6.66, it does still have a bit of devil in it.",5.5,Hazy IPA,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Phantom Lord West Coast IPA,"This Phantom Lord’s soul draws its spirit not from the Underworld, but California, USA. As a West Coast IPA, it’s absolutely brimming with Centennial, Simcoe, and Citra hops. We were going to stop adding them, but the devil on our shoulder told us to keep going. And he was right. The result has the classic, bitter bite you want, with big grapefruit, resinous pine, and passionfruit undertones. It’s our loudest Phantom Lord yet –– well, it is American.",5.6,West Coast IPA,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Phantom Lord Hopped Stout,"Brewers Guild of New Zealand Trophy Winner for Stouts and Porters 2016

It displays all the classic stout, characteristics. Black as tar, opulent roast and chocolate notes yet hopped in the way we would hop an American Style Pale Ale.

The malt grist is made up primarily of ale, roast barley, chocolate and crystal malts, with rolled oats included to add that smooth mouth feel.

Phantom Lord has been mash hopped, first wort hopped, hopped in the kettle and once boiled, the steaming hot wort has been pumped through fresh, new season hop cones – hop backed!",5.9,Hopped Stout,,,,,,,,,,,,,,,,,,,
Emerson's Brewery,Emerson's Brewery,Overlord,"A bold, malt-forward stout bursting with rich roasted flavors and a punch of Citra and Simcoe hops — the bigger, bolder sibling of Phantom Lord! Ruler of all things dark and hoppy.",8,Imperial Stout,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,TINY Larger w/ Lime,,0.5,Mexican Style Lager,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Fugazi,,2.2,Session Ale,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Side Quest,Whisky Barrel Aged Stout - turned into a Soft Serve.,4,Soft Serve,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,gg ez,"Good game. Crisp golden NZ pils, crafted to showcase the new Hāpi Research trial hop variety NZ04. Canterbury barley with a light touch of toffee malt bring fresh baked baguette sweetness, balanced with clean bitterness, upfront grapefruit citrus and tropical passionfruit notes. Too ez.",5,"NZ Pilsner , NZ-04",,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Our Dankest Daze,"The hopocalypse is upon us. Our Dankest Daze, West Coast IPA, brewed with a killer line-up of Chinook, Centennial, Citra and Nelson Sauvin. A crisp, clean malt base, bursting with bright grapefruit citrus and dripping dank hop resin, all finished off with a delicious bitter bite. You can run, but you can't hide. Brewed in collaboration with PikPok, creators of Into the Dead: Our Darkest Days, as part of our Kiwi Game Studio collab bundle, celebrating creativity and innovation in the New Zealand games industry.",6,West Coast IPA,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Antebeer w/ Vanilla Foam,"Paranormal containment failure detected. Open a portal to a new dimension of flavour. Antebeer, Coconut Ube Smoothie, it’s beer but not as you know it. Strong base blended with purple ube powder, coconut cream, banana, lychee and vanilla for an outrageously colourful, full flavoured paranormal smoothie beer experience that's out of this world. Brewed in collaboration with Deep Field Games, creators of Abiotic Factor, as part of our Kiwi Game Studio collab bundle, celebrating creativity and innovation in the New Zealand games industry.",6,"Coconut Ube & Lychee Smoothie
W/ Vanilla Foam",,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Boss Level - Bonus Level w/ Blood Orange,"All your bases are belong to us. Ready player 1 - you’ve unlocked the Bonus Level. It’s a can load of weaponised hop firepower with a wicked citrus twist. Five different US hop varieties, 100 IBU’s and a massive malt grist to match, finished with a powerful blast of distilled Blood Orange extract. Game over man, game over!",8,Blood Orange Ultra IPA,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Last Cast,"The fog’s rolling in. It’s getting late, time for a Last Cast? Unfathomably lush, hazy Oat Cream IIPA, brewed with a boat load of oats and full cream lactose, then double dry hopped with Mosaic, Motueka, Dolcita and Riwaka for an incredibly smooth mouthfeel and huge tropical fruit and citrus flavour. Dive into its hazy depths, but beware what lies within! Brewed in collaboration with Black Salt Games, creators of DREDGE, as part of our Kiwi Game Studio collab bundle, celebrating creativity and innovation in the New Zealand games industry.",8,Reel Hazy Oat Cream IIPA,,,,,,,,,,,,,,,,,,,
Garage Project,Garage Project,Stun Lock,Whiskey barrel aged stout infused with cacao nibs and liquorice root.,14.5,Chocolate Liquorice Stout,,,,,,,,,,,,,,,,,,,
Good George Brewing Co,Good George Brewing Co,Baby Jesus,"Aesthetic: Golden with a tight white foam
Aroma: Tropical and citrus aromas of mango, passionfruit, and lime with hints of stone fruit and grape.
Palate: Crisp and light-bodied with juicy hops balanced by subtle malt and toffee notes
Hops: Krush, Galaxy, Citra, Verdant IPA, Maris Otter Pale Ale, Toffee Malt, Rolled Oats
",2.9,Pale Ale,,,,,,,,,,,,,,,,,,,
Good George Brewing Co,Good George Brewing Co,Old School Alcoholic Peach Wave,"Aesthetic: Hazy, blush-tinted, effervescent shimmer
Aroma: Lush sun-ripened peaches, citrus zest and a hint of floral breeze.
Palate: Juicy, ripe peaches, a gentle tartness carried on fine, lively bubbles that crest into a smooth refreshing finish
",4,Brewed Alcoholic Soda,,,,,,,,,,,,,,,,,,,
Good George Brewing Co,Good George Brewing Co,Chilli Chocolate Stout,"Aesthetic: Pouring jet black with a creamy tan head, this rich stout is all about indulgence
Aroma: Bold notes of chocolate, toasted cacao and subtle roasted malt lead the way
Palate: Smooth and velvety, finishing with a gentle habanero warmth that complements the chocolate
Hops: Pacific Gem",5.2,Stout,,,,,,,,,,,,,,,,,,,
Good George Brewing Co,Good George Brewing Co,Frankton,"Aesthetic: Bright with an straw like golden hue
Aroma: Resinous hoppy with citrus and tropical notes
Palate: A balanced malty base with a strong bitterness and a crisp, clean finish
Hops: Galaxy, Mosaic & Centennial
",5.8,Bright IPA,,,,,,,,,,,,,,,,,,,
Good George Brewing Co,Good George Brewing Co,Fog City,"Aesthetic: Pale gold and hazy. Pillow white foam
Aroma: Peach, nectarine with tropical notes in the background
Palate: Full mouthfeel with citrus tones on palate. Light grainy flavours, low bitterness
Hops: Pacific Jade, Mosaic, Citra & Amarillo
",5.8,Hazy IPA,,,,,,,,,,,,,,,,,,,
Good George Brewing Co,Good George Brewing Co,Haze of Glory,"Aesthetic: Impenetrably hazy and full. Golden in colour with a thick white foam
Aroma: Intensely hoppy, fruity with variety of tropical – passionfruit, mango, pineapple
Palate: Sweet malty flavour with very low bitterness. Like drinking juice
Hops: SuperDelic, Nelson Sauvin, Riwaka & Nectaron
",7,Hazy NZIPA,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Beer Friends: ESB,,5,ESB,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Beer Friends: Hoppy Porter,,5,Hoppy Porter,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Jeremiah Imperial,,6.3,NZ Pils,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Mr Blue Sky,,6.3,NZIPA,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Odd Assembly: Quadrupel,,9.9,Quadrupel,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Odd Assembly: Tripel,,,Tripel,,,,,,,,,,,,,,,,,,,
Heyday Beer Co.,Heyday Beer Co.,Experimental Saison,,,Saison,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Little Liberty,Little in alc but not in flavour.,2.5,Low alc Pale Ale,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Peached Az ,Get one of your 5+ a day here with this moreish peach and vodka blend and taste that NZ peach puree for yourself.,4,Cocktail,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Pivo Pilsner,A glorious Czech style pilsner that reminds you of trips taken long ago.,5,Pilsner,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Divine Wind,"ager, Lager, Lager what more can i say. so clean and refreshing just what you need to cleanse the pallet.",5,Japanese Lager,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Oh Bro ,"Our classic pale ale, sturdy and bold it holds its own in place in our hearts.",5.1,Pale Ale,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Hopsicle,"Hard soda that's actually incredibly gentle, on your waistline as well as the eyes. This unique product has so much going for it you need to try it to believe it.",6,Hard Soda,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Jungle Juice,Juicy fruity and filling to boot! this hazy IPA never disappoints the taste buds.,6.6,Hazy IPA,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Hunched,"Our 2026 entry into the famous Malthouse WCIPA challenge, think massive fruity hops on the nose followed by smooth bitterness.",7,West Coast IPA,,,,,,,,,,,,,,,,,,,
Liberty Brewing,Liberty Brewing,Prohibition Porter 2025,"Not enough words for this delight. Rich smooth and creamy, decadent with a beautiful warming you will want to savour.",13.9,Bourbon barrel aged porter ,,,,,,,,,,,,,,,,,,,
Martinborough Brewery,Martinborough Brewery,Longbush Lager,"Brewed with 100% NZ hops and malt for a truly local take on a German classic. Expect that crisp, classic lager snap, soft floral notes, and a gentle hint of citrus.",4,Munich Helles,,,,,,,,,,,,,,,,,,,
Martinborough Brewery,Martinborough Brewery,MB Ginger Beer,"Zesty and refreshing. Made by us, with real ginger and lemon juice. Semi dry.",4,Ginger Beer,,,,,,,,,,,,,,,,,,,
Martinborough Brewery,Martinborough Brewery,Hinakura Hazy,"Juicy and full bodied NZ hazy pale ale, with big tropical notes of pineapple and passionfruit, peach and ripe citrus. Hops - Nelson Sauvin, Nectaron, Motueka, Superdelic.",4.9,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Martinborough Brewery,Martinborough Brewery,MB Brown,"On hand pull.  Aromas of toasted malt, chocolate and caramel, and a hint of spice from the small addition of rye malt. Medium bitter not overly sweet.",5.5,Brown Ale,,,,,,,,,,,,,,,,,,,
Martinborough Brewery,Martinborough Brewery,NITRO Imperial coffee caramel stout,"Get your caramel latte fix — in beer form. This rich and creamy oatmeal stout is conditioned on locally roasted Martinborough Coffee beans, lactose and caramel, delivering smooth roasted coffee flavours with a touch of caramel sweetness. Served on nitro for an extra velvety finish.",5.8,Stout,,,,,,,,,,,,,,,,,,,
Martinborough Brewery,Martinborough Brewery,Juice Experiment #7,"Soft and light malt background from lager, pilsner, oats and chit malts.
Strata and Superdelic Hops bring notes of strawberry, melon and pineapple with a hint of coconut.
",5.9,Hazy IPA,,,,,,,,,,,,,,,,,,,
Mean Doses,Mean Doses,You Must Be This Big To Ride,"You're confused because it's a session double IPA. Nah, you're confused because it's Beervana and a three metre tall fortune teller machine is talking at you. 
This beer is also a magic trick in that it gives full double IPA flavour with just a 4 hit. Amarillo, Ekuanot and Waimea, so it's all citrus and tropical with resin and guava. 
The name reflects our collective childhood memories of fairgrounds etc. You could choose to see it that way and not necessarily as a reference to the 1988 Tom Hanks vehicle.",4,Session Double IPA,,,,,,,,,,,,,,,,,,,
Mean Doses,Mean Doses,I Get To Be On Top,"For God's sake guys you did it you named a beer after the one scene in the movie I was trying to gloss over what the hell is wrong with you why can't you just make a 5 fruited sour and call it ""Mean Fruited Sour"" or some shit I mean it's got guava and passionfruit so call it ""Guava Sour"" or ""Passionfruit Sour"" and there that's done, we got there without retraumatising the punters it's not difficult",5,Fruited Sour,,,,,,,,,,,,,,,,,,,
Mean Doses,Mean Doses,Cavern of the Evil Wizard,"Yep, okay. We're definitely running with that as the name? Nice. I feel like the Tom Hanks theme is distracting us here, but whatever, I used to play Zork and D&D, I'm down with it. 

Ahem: In the cavern of the... evil wizard... the eternal battle between Saaz, Wai-iti and native NZ ""Wilding"" yeasts... uh... begins anew. And hence a great Saison is... um, unleashed. Upon the land.",5.4,Wilding Dry Hopped Saison,,,,,,,,,,,,,,,,,,,
Mean Doses,Mean Doses,Verily,"Verily, the mists of time have parted. 
Verily, the future stands revealed: it's a West Coast Pilsner and yea, it is crisp and refreshing. 
Verily we have used Simcoe, Citra, Ekuanot and Riwaka, so verily it doth taste of citrus, resin and passionfruit, bright and sharp and excellent. 
Verily, we are milking the Big theme a bit too much by this point.",5.7,West Coast Pilsner,,,,,,,,,,,,,,,,,,,
Mean Doses,Mean Doses,BIG,"You remember this one. We made it years ago - a double IPA with Centennial, Simcoe and Sabro. Lots of pine and citrus, deep yet refreshing. 
We often work an 80s retro vibe so we named it after the 1988 Tom Hanks comedy. You know, the one with the dodgy plot in which - never mind. 

Anyway, the beer. I think maybe we were thinking it was a one off but it  turned out really good so we kept making it. And making it, and making it. So here we are, it's Beervana ’26, Big is our centrepiece, and it’s bigger. We have a sick Zoltar machine. We have a whole line-up with names referencing the Tom Hanks movie. And I’m going to come up with tasting notes for every single one.",9.9,Double IPA,,,,,,,,,,,,,,,,,,,
