EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Unicorn Rainbows,,5,Glitter Pilsner,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Princess Bubble Beer,,5.6,Bubblegum Hazy,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Drama Lager,,5.7,Hopped lager,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Frozen Account,,5.8,Raspberry Ice Cream Sour,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Trunky Pie,,6,Pumpkin Pie Hazy,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Old Mate,,6,Red IPA with Hemp,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Jake the Hazy,,6,Lychee Hazy,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Lumpy Space Princess,,6,Bright IPA,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Emerald Princess,,6,Hemp American Pale Ale,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Mr Peanut Butter Jelly Stout,,6.5,Peanut Butter Jelly stout,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,It's Our Year,,6.5,Coconut hazy ipa,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Taxed Man,,6.5,Pumpkin Pie Hazy,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Riders on the Storm,,6.5,Hazy IPA,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Juicy Pineapple Rocket,,6.5,Hazy IPA,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Kitty Cakes,,6.6,Caramel Cake Stout,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,BMO Beer (Beersmo),,6.8,Hazy IPA,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Evil Guy,,8,Double Hazy IPA,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Cinnamon Bunz,,8.2,Spiced Imperial Pastry Stout,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,9-5,,8.2,Spiced Imperial Stout,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros ,BEERS by Bacon Bros,Ol Lenny lemonade,,4,Hard Lemonade,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros ,BEERS by Bacon Bros,Ol Bluey ginger beer,,4,Ginger beer,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros ,BEERS by Bacon Bros,Ken Cider,,4.2,Green Apple Cider,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros ,BEERS by Bacon Bros,Barbara Rhubarb cider,,4.2,Rhubarb cider,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros ,BEERS by Bacon Bros,Barbara Girls in berry,,4.2,Berry Cider,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros ,BEERS by Bacon Bros,Barbara boys in berry,,4.2,Berry Cider,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Responsibly Non-Alcoholic Hazy IPA,"We at Behemoth believe in bigger tasting beers; big on flavour and fun! This is why the majority of our beers have big percentages and big full-body flavours. But we're also not afraid to try something new...

So! We are releasing Responsibly Non-Alcoholic Hazy IPA with all the flavour you want when reaching for a beer at the end of the day! Made with Pale Malt, Vienna Malt, Oats, Wheat and Carahell Malts along with Citra, Mosaic, Galaxy, and Riwaka Hops to give you an incredibly flavourful and refreshing Hazy IPA just without the booze!",0.5,Non-Alc Hazy IPA,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Cool Me Down,"Brewed with our mates at the Black Seeds. It is a hazy loaded with real watermelon from Vietnam, it is one for real watermelon lovers, watermelon in beer form. 
",5,Watermelon Hazy IPA,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Classic Lemon-Lime Margarita,Just like your classic frozen margarita but made with a citrus sour beer base!,5,Frozen Margarita (Beer Base),,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Frozen Mango Margarita,Like your favourite frozen margarita but made with a sour mango beer base!,5,Frozen Mango Margarita (Beer Base),,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Neighbourino,"Brewed with our mates at Brothers for Auckland Beer Week we used Riwaka, citra and Motueka hop flakes. Along with a little bit of rice in the grain bill to lighten the body and make it that much more drinkable.",5.9,Beer Week Pale Ale,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Party of One,"This hazy is here to showcase brand new American Dolcita hops showcasing vibrant notes of candied peach rings, pineapple, tangerine, and sweet cream.",6,Dolcita Single Hopped Hazy IPA,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Churly's Cantina,Small lager yeast fermented stout with the taste of Agave. The warming taste of Mexico right here at Beervana.,7,Agave Tropical Stout,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Churly's Share,"Churly's has been nice enough to give his share back into this stout which we had agreed on Oak Staves that have held whiskies from around the world. Now you can get the taste of your favourite dram in this smooth, flavourful and maybe far too easy drinking tropical stout. ",7,Whiskey Aged Tropical Stout,,,,,,,,,,,,,,,,,,,
Behemoth Brewing Company,Behemoth Brewing Company,Pallet Wrecker,"Back in 2012 a brewery called Green Flash from San Diego created what may be the hoppiest beer in the world at the time. This is our ode to that beer. 9 ALC/VOL and 250 theoretical IBUs (because your taste buds struggle to register anything over 100 IBU but we wanted to give it a crack). Bitter beers may have fallen out of fashion, but we have loaded this beer with Columbus, Moutere, Centennial, Nelson Sauvin and Cryo Simcoe to give you a full on assault to the senses—so many hops it will weaken even the most sturdy wooden pallet!  ",9,Double IPA,,,,,,,,,,,,,,,,,,,
Big Mountain Mead,Big Mountain Mead,Wild Manuka,A slightly sweet sparkling session mead made from multi-flora mānuka honey fermented with Ruapehu mountain water.,5,Sparkling Honey Mead,,,,,,,,,,,,,,,,,,,
Big Mountain Mead,Big Mountain Mead,Spiced Apple Pie,"The familiar flavours of your favourite apple pie. Crisp apple, cinnamon and a hint of ginger.",5,Sparkling Honey Mead,,,,,,,,,,,,,,,,,,,
Big Mountain Mead,Big Mountain Mead,Cherry Sour,The natural sweetness of New Zealand’s bush honey paired with fresh and sour cherry juice.,5,Sparkling Honey Mead,,,,,,,,,,,,,,,,,,,
Big Mountain Mead,Big Mountain Mead,Ginger Manuka,Subtle hints of honey with a ginger spicy aftertaste. Tastes like the sweet spot between ginger beer and ginger ale.,5,Sparkling Honey Mead,,,,,,,,,,,,,,,,,,,
Big Mountain Mead,Big Mountain Mead,Hopped Apple and Peach Cider,"A crisp, semi-dry co-ferment of apple and peach, dry hopped with Nectaron hops from NZ Hops to deliver tropical and stone fruit aromatics and a clean, refreshing finish.",5,Flavoured Cider,,,,,,,,,,,,,,,,,,,
Brew Moon Brewing Company,Brew Moon Brewing Company,Leithfield Lager,"Cutting through the crap. A clean, refreshing lager to cleanse your palate. ",4,Lager,,,,,,,,,,,,,,,,,,,
Brew Moon Brewing Company,Brew Moon Brewing Company,"Sour Face, Feijoa Sour","A delightfully bright and refreshing sour made with a heap of NZ's favourite winter fruit. There is a small addition of salt and coriander for some complexity (you're welcome beer nerds) , but the feijoa is undoubtedly the star of the show.",4,Sour/ Gose,,,,,,,,,,,,,,,,,,,
Brew Moon Brewing Company,Brew Moon Brewing Company,Paradise Punch,"A tangy, tart rollercoaster of flavour. Fruited with a heap of guava, orange, banana, feijoa, strawberry and a little vanilla. A sour beer, that doesn't taste like beer at all.",4.5,Fruit Punch Sour,,,,,,,,,,,,,,,,,,,
Brew Moon Brewing Company,Brew Moon Brewing Company,Waipara,"Our flagship hazy. Fruity, tropical, smooth and delicious.",5.8,New England IPA (hazy),,,,,,,,,,,,,,,,,,,
Brew Moon Brewing Company,Brew Moon Brewing Company,Tiger's Nest,"A punchy and clean WCIPA, with a big hop dose of Citra, Nelson Sauvin and NZ Cascade. TBC",6.3,West Coast IPA,,,,,,,,,,,,,,,,,,,
Brew Moon Brewing Company,Brew Moon Brewing Company,Fireside,"Our NZ Stout Challenge 2026 entry. A silky, rich stout enhanced with orange slices, vanilla. and a variety of delicious warming spices. Mulled Stout, if you will",6.5,Orange Spiced Stout,,,,,,,,,,,,,,,,,,,
